Date,DBS,Open,High,Low,Vol.,Change %
08/29/2025,50.52,50.7,50.7,50.28,3.08M,0.38%
08/28/2025,50.33,50.31,50.45,50.24,3.23M,0.32%
08/27/2025,50.17,49.7,50.22,49.7,2.17M,0.30%
08/26/2025,50.02,50,50.25,49.8,4.22M,-0.62%
08/25/2025,50.33,51,51,50.13,4.75M,-0.94%
08/22/2025,50.81,50.57,50.83,50.52,2.80M,0.42%
08/21/2025,50.6,50.3,50.65,50.07,3.71M,1.20%
08/20/2025,50,49.87,50.21,49.75,3.18M,0.28%
08/19/2025,49.86,49.55,49.98,49.37,3.58M,0.52%
08/18/2025,49.6,50.5,50.5,49.57,3.68M,-0.60%
08/15/2025,49.9,50.2,50.62,49.8,3.80M,-1.17%
08/14/2025,50.49,51,51,50.3,4.75M,-1.58%
08/13/2025,51.3,51.11,51.3,50.75,5.62M,0.96%
8/12/2025,50.81,50.63,50.82,50.2,4.33M,0.41%
8/11/2025,50.6,50.62,50.85,50.2,3.58M,0.02%
8/8/2025,50.59,49.84,50.83,49.82,7.67M,1.99%
8/7/2025,49.6,48.96,49.85,48.96,6.52M,1.55%
8/6/2025,48.85,48.28,48.87,48.08,3.28M,1.26%
8/5/2025,48.24,48,48.46,47.99,4.27M,0.73%
8/4/2025,47.89,47.56,47.99,47.32,2.98M,0.61%
8/1/2025,47.6,47.62,48.14,47.6,4.58M,-0.65%
07/31/2025,47.91,47.96,48.19,47.91,4.08M,-0.73%
07/30/2025,48.26,48.56,48.56,48.02,5.51M,-0.70%
07/29/2025,48.6,48.56,48.79,48.38,2.93M,-0.12%
07/28/2025,48.66,49.11,49.12,48.56,3.60M,-0.82%
07/25/2025,49.06,48.68,49.08,48.45,5.24M,-0.30%
07/24/2025,49.21,48.35,49.21,48.16,7.18M,2.24%
07/23/2025,48.13,47.55,48.14,47.35,5.81M,1.86%
07/22/2025,47.25,47.31,47.35,46.86,4.11M,-0.02%
07/21/2025,47.26,47.08,47.77,47.05,3.64M,0.57%
07/18/2025,46.99,46.8,47.05,46.75,4.23M,0.66%
07/17/2025,46.68,46.23,46.68,46.23,4.42M,1.21%
07/16/2025,46.12,46.02,46.17,45.96,2.01M,0.07%
07/15/2025,46.09,46.28,46.29,46.03,3.53M,-0.43%
07/14/2025,46.29,46.14,46.3,46.12,2.95M,0.65%
7/11/2025,45.99,45.5,46.36,45.49,5.07M,0.37%
7/10/2025,45.82,45.63,45.88,45.6,3.34M,0.37%
7/9/2025,45.65,45.61,45.76,45.45,3.92M,-0.17%
7/8/2025,45.73,45.74,45.88,45.37,4.71M,0.13%
7/7/2025,45.67,45.25,45.67,45.05,5.11M,1.02%
7/4/2025,45.21,45.19,45.28,45.05,2.95M,0.58%
7/3/2025,44.95,44.85,44.95,44.65,3.82M,0.22%
7/2/2025,44.85,45.08,45.17,44.73,3.40M,-0.58%
7/1/2025,45.11,44.93,45.28,44.93,3.62M,0.45%
06/30/2025,44.91,44.94,45,44.75,2.97M,0.11%
06/27/2025,44.86,44.59,44.86,44.5,4.48M,0.99%
06/26/2025,44.42,44.55,44.61,44.26,4.84M,-0.40%
06/25/2025,44.6,44.31,44.8,44.31,4.01M,0.68%
06/24/2025,44.3,43.89,44.33,43.89,4.35M,1.00%
06/23/2025,43.86,43.3,43.87,43.02,4.29M,-0.05%
06/20/2025,43.88,43.93,44.07,43.88,4.67M,-0.11%
06/19/2025,43.93,44,44.13,43.87,3.15M,-0.68%
06/18/2025,44.23,44.25,44.3,44.01,2.19M,-0.52%
06/17/2025,44.46,44.37,44.53,44.2,2.68M,0.68%
06/16/2025,44.16,44.15,44.28,43.98,4.75M,-0.65%
06/13/2025,44.45,44.2,44.45,44.1,4.73M,-0.49%
6/12/2025,44.67,44.67,45.03,44.65,3.25M,-0.45%
6/11/2025,44.87,45.06,45.12,44.64,4.68M,-0.62%
6/10/2025,45.15,45.37,45.46,45.05,3.06M,-0.75%
6/9/2025,45.49,45.08,45.55,45.05,3.73M,0.82%
6/6/2025,45.12,45.03,45.12,44.93,2.47M,0.22%
6/5/2025,45.02,45,45.02,44.71,2.92M,0.02%
6/4/2025,45.01,44.62,45.01,44.61,3.84M,0.47%
6/3/2025,44.8,44.76,44.88,44.44,4.91M,-0.13%
6/2/2025,44.86,44.9,45.09,44.55,5.62M,0.31%
05/30/2025,44.72,44.97,44.97,44.5,21.84M,-0.60%
05/29/2025,44.99,45.14,45.14,44.73,4.16M,-0.35%
05/28/2025,45.15,44.78,45.15,44.69,5.21M,1.39%
05/27/2025,44.53,44.45,44.53,44.3,2.74M,0.56%
